File Name,Net Site EUI (kWh/m2),Net Site Energy (kWh),Net Source EUI (kWh/m2),Net Source Energy (kWh)
CZ09/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,32.20,41737.20,77.65,100658.29
CZ09/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-16.0-SEER2-8.0-HSPF2/instance-out.sql,30.68,39763.17,72.83,94406.23
CZ09/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-17.8-SEER2-8.1-HSPF2/instance-out.sql,30.50,39536.44,72.28,93688.16
CZ09/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-18.7-SEER2-8.5-HSPF2/instance-out.sql,30.41,39412.52,71.97,93295.70
CZ09/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-19.6-SEER2-8.9-HSPF2/instance-out.sql,30.33,39309.67,71.72,92969.99

File Name,Total (kWh),Heating (kWh),Cooling (kWh),Interior Lighting (kWh),Exterior Lighting (kWh),Interior Equipment (kWh),Exterior Equipment (kWh),Fans (kWh),Pumps (kWh),Heat Rejection (kWh),Humidification (kWh),Heat Recovery (kWh),Water Systems (kWh),Refrigeration (kWh),Generators (kWh),Heating Elec (kWh),Cooling Elec (kWh),Heating NG (kWh),Cooling NG (kWh),Interior Equipment Elec (kWh),Interior Equipment NG (kWh)
CZ01/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,26948.370000000003,1803.95,50.46,1557.5,457.71,10338.53,0.0,348.14,0.0,0.0,0.0,0.0,12392.08,0.0,0.0,1803.95,50.46,0.00,0.00,8268.27,2070.26
CZ01/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,26840.84,1700.49,46.39,1557.5,457.71,10338.53,0.0,348.14,0.0,0.0,0.0,0.0,12392.08,0.0,0.0,1700.49,46.39,0.00,0.00,8268.27,2070.26
CZ01/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-16.0-SEER2-8.0-HSPF2/instance-out.sql,26607.89,1652.96,41.31,1557.5,457.71,10338.53,0.0,167.87,0.0,0.0,0.0,0.0,12392.01,0.0,0.0,1652.96,41.31,0.00,0.00,8268.27,2070.26
CZ01/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-17.8-SEER2-8.1-HSPF2/instance-out.sql,26599.63,1646.66,39.35,1557.5,457.71,10338.53,0.0,167.87,0.0,0.0,0.0,0.0,12392.01,0.0,0.0,1646.66,39.35,0.00,0.00,8268.27,2070.26
CZ01/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-18.7-SEER2-8.5-HSPF2/instance-out.sql,26580.4,1628.13,38.66,1557.5,457.71,10338.53,0.0,167.87,0.0,0.0,0.0,0.0,12392.01,0.0,0.0,1628.13,38.66,0.00,0.00,8268.27,2070.26
CZ01/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-19.6-SEER2-8.9-HSPF2/instance-out.sql,26564.77,1613.09,38.06,1557.5,457.71,10338.53,0.0,167.87,0.0,0.0,0.0,0.0,12392.01,0.0,0.0,1613.09,38.06,0.00,0.00,8268.27,2070.26
CZ01/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,35026.369999999995,2975.55,137.55,1774.64,457.71,16701.91,0.0,634.23,0.0,0.0,0.0,0.0,12344.76,0.0,0.0,2975.55,137.55,0.00,0.00,13440.28,3261.63
CZ01/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,34832.020000000004,2792.29,126.47,1774.64,457.71,16701.91,0.0,634.23,0.0,0.0,0.0,0.0,12344.76,0.0,0.0,2792.29,126.47,0.00,0.00,13440.28,3261.63
CZ01/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-16.0-SEER2-8.0-HSPF2/instance-out.sql,34417.229999999996,2721.41,111.73,1774.64,457.71,16701.91,0.0,304.98,0.0,0.0,0.0,0.0,12344.84,0.0,0.0,2721.41,111.73,0.00,0.00,13440.28,3261.63
CZ01/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-17.8-SEER2-8.1-HSPF2/instance-out.sql,34400.78,2710.26,106.43,1774.64,457.71,16701.91,0.0,304.98,0.0,0.0,0.0,0.0,12344.84,0.0,0.0,2710.26,106.43,0.00,0.00,13440.28,3261.63
CZ01/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-18.7-SEER2-8.5-HSPF2/instance-out.sql,34366.09,2677.45,104.54,1774.64,457.71,16701.91,0.0,304.98,0.0,0.0,0.0,0.0,12344.84,0.0,0.0,2677.45,104.54,0.00,0.00,13440.28,3261.63
CZ01/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-19.6-SEER2-8.9-HSPF2/instance-out.sql,34337.86,2650.82,102.95,1774.64,457.71,16701.91,0.0,304.98,0.0,0.0,0.0,0.0,12344.84,0.0,0.0,2650.82,102.95,0.00,0.00,13440.28,3261.63
CZ02/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,29031.989999999998,3156.91,574.58,1557.5,457.71,10338.53,0.0,772.01,0.0,0.0,0.0,0.0,12174.75,0.0,0.0,3156.91,574.58,0.00,0.00,8268.27,2070.26
CZ02/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,28783.95,2955.18,528.27,1557.5,457.71,10338.53,0.0,772.01,0.0,0.0,0.0,0.0,12174.75,0.0,0.0,2955.18,528.27,0.00,0.00,8268.27,2070.26
CZ02/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-16.0-SEER2-8.0-HSPF2/instance-out.sql,28201.05,2842.05,464.56,1557.5,457.71,10338.53,0.0,365.9,0.0,0.0,0.0,0.0,12174.81,0.0,0.0,2842.05,464.56,0.00,0.00,8268.27,2070.26
CZ02/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-17.8-SEER2-8.1-HSPF2/instance-out.sql,28166.879999999997,2829.89,442.54,1557.5,457.71,10338.53,0.0,365.9,0.0,0.0,0.0,0.0,12174.81,0.0,0.0,2829.89,442.54,0.00,0.00,8268.27,2070.26
CZ02/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-18.7-SEER2-8.5-HSPF2/instance-out.sql,28123.25,2794.12,434.69,1557.5,457.71,10338.53,0.0,365.9,0.0,0.0,0.0,0.0,12174.81,0.0,0.0,2794.12,434.69,0.00,0.00,8268.27,2070.26
CZ02/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-19.6-SEER2-8.9-HSPF2/instance-out.sql,28087.57,2765.08,428.04,1557.5,457.71,10338.53,0.0,365.9,0.0,0.0,0.0,0.0,12174.81,0.0,0.0,2765.08,428.04,0.00,0.00,8268.27,2070.26
CZ02/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,40411.75,5981.79,1700.92,1774.64,457.71,16701.91,0.0,1646.7,0.0,0.0,0.0,0.0,12148.07,0.0,0.0,5981.79,1700.92,0.00,0.00,13440.28,3261.63
CZ02/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,39878.76,5585.91,1563.81,1774.64,457.71,16701.91,0.0,1646.7,0.0,0.0,0.0,0.0,12148.07,0.0,0.0,5585.91,1563.81,0.00,0.00,13440.28,3261.63
CZ02/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_eq-pkgSEER-16.0-SEER2-8.0-HSPF2/instance-out.sql,38633.63,5405.88,1369.3,1774.64,457.71,16701.91,0.0,775.96,0.0,0.0,0.0,0.0,12148.22,0.0,0.0,5405.88,1369.30,0.00,0.00,13440.28,3261.63
