,relpath,meas_group_vintage_combo,cz,cohort,techid,fileerr_exists,fileout_exists,timestamp,success,warnings,errors,hastempdir
53,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PEH 1635kW_7.47COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PEH 1635kW_7.47COP_Vanes,True,True,2025.08.25 14:35,True,5288419,2,False
54,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PEH 1895kW_6.42COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PEH 1895kW_6.42COP_Vanes,True,True,2025.08.25 14:42,True,5288455,2,False
55,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PEH 1934kW_6.01COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PEH 1934kW_6.01COP_Vanes,True,True,2025.08.25 14:42,True,5287461,2,False
56,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PEH 703kW_7.03COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PEH 703kW_7.03COP_Vanes,True,True,2025.08.25 14:22,True,5287536,2,False
57,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PEH 819kW_8.11COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PEH 819kW_8.11COP_Vanes,True,True,2025.08.25 14:23,True,5288385,2,False
58,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PFH 1407kW_6.60COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PFH 1407kW_6.60COP_Vanes,True,True,2025.08.25 14:33,True,5287375,2,False
59,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PFH 2043kW_8.44COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PFH 2043kW_8.44COP_Vanes,True,True,2025.08.25 14:44,True,5256130,2,False
60,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PFH 2124kW_6.03COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PFH 2124kW_6.03COP_Vanes,True,True,2025.08.25 14:45,True,5287604,2,False
61,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PFH 2462kW_6.67COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PFH 2462kW_6.67COP_Vanes,True,True,2025.08.25 14:48,True,5287645,2,False
62,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PFH 3165kW_6.48COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PFH 3165kW_6.48COP_Vanes,True,True,2025.08.25 14:50,True,5287466,2,False
