skip,case_name,:main_cool_coil_type,:chw_chiller_model,:chw_chiller_eir_fplr_type,:chw_chiller_cop,:chw_cooling_source,:chw_chiller_type,:chw_wc_option,:chw_pump_type,:chw_chiller_condenser,:cool_sizing_factor,:main_hvac_type,:heat_sizing_factor,:hvac_config,:main_atu_reheat_coil_type,:main_atu_reheat_control,:main_fan_rise,:main_heat_coil_type,:main_dx_type,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_oa_econ_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_cool_flow_min_frac,:main_unitary_no_load_flow_method,:main_fan_speed,:main_fan_motor_eff,:main_heat_coil_cop,:main_heat_coil_eff,:main_heat_flow_frac,:hw_boiler_eff,:chw_library_chiller_model,:chw_num_chillers
#,ReformEIRChiller Carrier 19XR 1213kW_7.78COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1213kW/7.78COP/Vanes,1
#,ReformEIRChiller McQuay PEH 1231kW_6.18COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller McQuay PEH 1231kW/6.18COP/Vanes,1
#,ReformEIRChiller Carrier 19XR 1234kW_5.39COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1234kW/5.39COP/VSD,1
#,ReformEIRChiller Carrier 19XR 1259kW_6.26COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1259kW/6.26COP/Vanes,1
#,ReformEIRChiller York YK 1259kW_6.45COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YK 1259kW/6.45COP/Vanes,1
#,ReformEIRChiller York YT 1266kW_4.39COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1266kW/4.39COP/Vanes,1
#,ReformEIRChiller Carrier 19XR 1284kW_6.20COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1284kW/6.20COP/Vanes,1
#,ReformEIRChiller Carrier 19XR 1294kW_7.61COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1294kW/7.61COP/Vanes,1
#,ReformEIRChiller Trane CVHE 1329kW_5.38COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Trane CVHE 1329kW/5.38COP/Vanes,1
#,ReformEIRChiller Carrier 19XR 1350kW_7.90COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1350kW/7.90COP/VSD,1
